# Universe snapshot: 全台股(TWSE+OTC) 價格<100 排除ETF/特別股/權證 2026-04-23
# Total price<100: 1488
ticker	name	price	market
6176	瑞儀	99.6	TWSE
5478	智冠	99.6	OTC
4994	傳奇	99.5	TWSE
6921	嘉雨思-創	99.5	TWSE
8932	智通*	99.5	OTC
1342	八貫	99.2	TWSE
6574	霈方	99.2	OTC
5312	寶島科	99.0	OTC
6023	元大期	98.5	OTC
3029	零壹	97.9	TWSE
2377	微星	97.5	TWSE
2441	超豐	96.5	TWSE
3444	利機	96.5	OTC
6525	捷敏-KY	96.4	TWSE
4905	台聯電	96.3	OTC
5469	瀚宇博	96.1	TWSE
8096	擎亞	96.0	OTC
6143	振曜	95.6	OTC
4904	遠傳	95.4	TWSE
6227	茂綸	95.4	OTC
6651	全宇昕	95.4	OTC
4739	康普	95.3	TWSE
6183	關貿	95.2	TWSE
1472	三洋實業	95.0	TWSE
5263	智崴	94.5	OTC
3479	安勤	94.1	OTC
2464	盟立	94.0	TWSE
5403	中菲	93.6	OTC
4721	美琪瑪	93.5	OTC
6498	久禾光	93.3	OTC
6924	榮惠-KY創	93.0	TWSE
1558	伸興	92.9	TWSE
3483	力致	92.7	OTC
7708	全家餐飲	92.2	OTC
4949	有成精密	91.9	TWSE
6261	久元	91.8	OTC
2228	劍麟	91.4	TWSE
6658	聯策	91.4	TWSE
6799	來頡	91.1	TWSE
4912	聯德控股-KY	90.7	TWSE
2344	華邦電	90.6	TWSE
8043	蜜望實	90.5	OTC
6756	威鋒電子	90.4	TWSE
4973	廣穎	90.2	OTC
6585	鼎基	90.1	TWSE
3158	嘉實	90.1	OTC
6873	泓德能源	90.0	TWSE
8438	昶昕	89.8	TWSE
8342	益張	89.6	OTC
1303	南亞	89.4	TWSE
2439	美律	89.0	TWSE
1231	聯華食	88.9	TWSE
6654	天正國際	88.9	OTC
6425	易發	88.8	OTC
6874	倍力	88.7	OTC
6486	互動	88.6	OTC
2114	鑫永銓	88.5	TWSE
6173	信昌電	88.5	OTC
6188	廣明	88.4	OTC
2881	富邦金	88.3	TWSE
6869	雲豹能源	88.3	TWSE
5299	杰力	88.1	OTC
8112	至上	88.0	TWSE
6823	濾能	87.8	OTC
6499	益安	87.7	OTC
